element,web_name,team,position,opponent_tier,games_played,avg_pts,avg_xg,avg_xa,total_goals,total_assists,total_cs,avg_bonus
316,Robinson,FUL,DEF,Tier 3 - Rest,16,2.75,0.063,0.076,1,0,3,0.38
318,Bassey,FUL,DEF,Tier 1 - Top 6,12,1.42,0.039,0.008,0,0,0,0.0
318,Bassey,FUL,DEF,Tier 2 - Mid Upper,10,2.7,0.008,0.004,0,0,3,0.0
318,Bassey,FUL,DEF,Tier 3 - Rest,16,3.69,0.073,0.013,1,1,4,0.56
319,Castagne,FUL,DEF,Tier 1 - Top 6,12,1.08,0.046,0.038,0,1,0,0.0
319,Castagne,FUL,DEF,Tier 2 - Mid Upper,10,3.2,0.013,0.064,0,0,3,0.3
319,Castagne,FUL,DEF,Tier 3 - Rest,16,1.0,0.051,0.023,0,1,0,0.0
325,Smith Rowe,FUL,MID,Tier 1 - Top 6,12,2.58,0.156,0.021,2,1,0,0.0
325,Smith Rowe,FUL,MID,Tier 2 - Mid Upper,10,1.7,0.038,0.012,0,0,3,0.0
325,Smith Rowe,FUL,MID,Tier 3 - Rest,16,2.0,0.154,0.047,1,0,3,0.06
332,Lukić,FUL,MID,Tier 1 - Top 6,12,0.92,0.0,0.068,0,0,0,0.0
332,Lukić,FUL,MID,Tier 2 - Mid Upper,10,2.6,0.126,0.082,1,2,2,0.2
332,Lukić,FUL,MID,Tier 3 - Rest,16,1.88,0.061,0.017,0,2,4,0.12
