team,team_id,gw,fixture_id,was_home,opponent,fdr,finished,scored,conceded
BOU,4,28,272,1,SUN,2,True,1,1
SUN,17,28,272,0,BOU,3,True,1,1
BUR,3,28,274,1,BRE,3,True,3,4
BRE,5,28,274,0,BUR,2,True,4,3
LIV,12,28,277,1,WHU,2,True,5,2
WHU,19,28,277,0,LIV,4,True,2,5
NEW,15,28,279,1,EVE,3,True,2,3
EVE,9,28,279,0,NEW,3,True,3,2
LEE,11,28,276,1,MCI,4,True,0,1
MCI,13,28,276,0,LEE,3,True,1,0
BHA,6,28,273,1,NFO,3,True,2,1
NFO,16,28,273,0,BHA,4,True,1,2
FUL,10,28,275,1,TOT,3,True,2,1
TOT,18,28,275,0,FUL,3,True,1,2
MUN,14,28,278,1,CRY,3,True,2,1
CRY,8,28,278,0,MUN,4,True,1,2
ARS,1,28,271,1,CHE,3,True,2,1
CHE,7,28,271,0,ARS,5,True,1,2
BOU,4,29,282,1,BRE,3,True,0,0
BRE,5,29,282,0,BOU,3,True,0,0
EVE,9,29,284,1,BUR,1,True,2,0
BUR,3,29,284,0,EVE,3,True,0,2
LEE,11,29,286,1,SUN,2,True,0,1
SUN,17,29,286,0,LEE,3,True,1,0
WOL,20,29,290,1,LIV,4,True,2,1
LIV,12,29,290,0,WOL,2,True,1,2
AVL,2,29,281,1,CHE,3,True,1,4
CHE,7,29,281,0,AVL,4,True,4,1
BHA,6,29,283,1,ARS,4,True,0,1
ARS,1,29,283,0,BHA,4,True,1,0
FUL,10,29,285,1,WHU,2,True,0,1
